Date,Time,Type,Strike,Open_5m
2025-01-04,11:40,CE,24800,76.6
2025-01-04,11:40,CE,24850,70.95
2025-01-04,11:40,CE,24900,64.05
2025-01-04,11:40,PE,21400,59.8
2025-01-04,11:40,PE,21500,66.75
2025-01-04,11:40,PE,21700,80.0
2025-01-04,11:40,PE,21800,89.8
2025-01-04,11:40,PE,21900,99.3
2025-01-04,11:40,PE,22000,112.05
2025-01-04,11:40,PE,22100,120.1
2025-01-04,11:40,PE,22200,133.75
2025-01-04,11:40,PE,22300,149.25
2025-01-04,11:40,PE,22400,171.95
2025-01-04,11:40,PE,22500,188.7
2025-01-04,11:40,PE,22600,207.55
2025-01-04,11:40,PE,22650,225.6
2025-01-04,11:40,PE,22700,229.35
2025-01-04,11:40,PE,22800,254.0
2025-01-04,11:40,PE,22850,271.15
2025-01-04,11:40,PE,22900,280.75
2025-01-04,11:40,PE,23000,308.65
2025-01-04,11:40,PE,23050,326.9
2025-01-04,11:40,PE,23100,339.95
2025-01-04,11:40,PE,23150,356.75
2025-01-04,11:40,PE,23200,373.9
2025-01-04,11:40,PE,23250,395.0
2025-01-04,11:40,PE,23300,408.9
2025-01-04,11:40,PE,23350,442.15
2025-01-04,11:40,PE,23400,451.6
2025-01-04,11:40,PE,23450,484.85
2025-01-04,11:40,PE,23500,492.5
2025-01-04,11:40,PE,23600,541.0
2025-01-04,11:40,PE,23650,560.0
2025-01-04,11:40,PE,23800,646.0
2025-01-04,11:40,PE,24000,761.8
2025-01-04,11:40,PE,24200,890.0
2025-01-04,11:40,PE,24500,1114.0
2025-01-04,11:45,CE,22500,1134.05
2025-01-04,11:45,CE,22800,913.45
2025-01-04,11:45,CE,23000,775.5
2025-01-04,11:45,CE,23200,636.35
2025-01-04,11:45,CE,23300,577.8
2025-01-04,11:45,CE,23400,518.95
2025-01-04,11:45,CE,23500,465.0
2025-01-04,11:45,CE,23600,413.25
2025-01-04,11:45,CE,23700,367.35
2025-01-04,11:45,CE,23750,344.15
2025-01-04,11:45,CE,23800,324.7
2025-01-04,11:45,CE,23850,302.45
2025-01-04,11:45,CE,23900,281.5
2025-01-04,11:45,CE,24000,251.35
2025-01-04,11:45,CE,24100,214.55
2025-01-04,11:45,CE,24150,201.4
2025-01-04,11:45,CE,24200,185.35
2025-01-04,11:45,CE,24250,172.9
2025-01-04,11:45,CE,24300,161.2
2025-01-04,11:45,CE,24350,147.85
2025-01-04,11:45,CE,24400,138.15
2025-01-04,11:45,CE,24500,119.35
2025-01-04,11:45,CE,24600,102.55
2025-01-04,11:45,CE,24700,87.8
2025-01-04,11:45,CE,24750,81.35
2025-01-04,11:45,CE,24800,75.7
2025-01-04,11:45,CE,24850,71.0
2025-01-04,11:45,CE,24900,64.0
2025-01-04,11:45,PE,21400,60.65
2025-01-04,11:45,PE,21500,66.85
2025-01-04,11:45,PE,21800,88.7
