Date,Time,CE_strikes,PE_strikes
2025-01-01,14:10,"23000,23500,23600,23700,23800,23850,23900,23950,24000,24100,24150,24200,24300,24400,24500,24600","22400,22500,22550,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23700,23800,23850,23900,23950,24000,24050,24200,24500,24600"
2025-01-01,14:15,"23500,23600,23700,23750,23800,23900,23950,24000,24100,24200,24300,24500,24600","22400,22500,22600,22700,22800,22900,23000,23200,23400,23500,23700,23800,23900,24000,24050,24100,24500,24600"
2025-01-01,14:20,"23500,23600,23700,23800,24000,24100,24300,24500,24600","22500,22600,22800,22900,23000,23100,23200,23300,23400,23500,23700,23800,24000,24500"
2025-01-01,14:25,"23000,23400,23500,23600,23650,23700,23750,23800,24000,24100,24200,24300,24450,24500","22500,22600,22700,22800,22900,23000,23100,23300,23500,23550,23600,23650,23700,23800,23850,23900,24000,24100,24300,24500"
2025-01-01,14:30,"23500,23600,23650,23750,23850,24000,24050,24300,24500","22500,22700,23000,23100,23300,23400,23500,23600,23800,23900,24000,24100,24450,24500"
2025-01-01,14:35,"23000,23600,23700,23800,23850,23900,23950,24000,24100,24300,24400,24500,24600","22400,22500,22550,22600,22700,22900,23000,23300,23500,23800,24000,24200,24500"
2025-01-01,14:40,"23500,23600,23700,23800,23950,24000,24200,24300,24500,24600","22400,22500,22600,22700,22800,22900,23000,23300,23500,23650,23800,23900,24000,24500"
2025-01-01,14:45,"23000,23500,23600,23700,23800,23900,23950,24000,24300,24400,24500,24600","22400,22500,22600,22700,22800,22900,23000,23100,23300,23400,23500,23700,23800,23850,23900,24000,24500"
2025-01-01,14:50,"23400,23500,23600,23750,23800,24000,24050,24300,24400,24500,24600","22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23700,23800,23850,23900,23950,24000,24100,24200,24500"
2025-01-01,14:55,"22500,23000,23500,23600,23700,23750,23800,23900,24000,24050,24200,24500,24600","22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23750,23800,23850,24000,24500"
